respondent_id;question;response
118779176001;At what administrative level does your primary affiliation work?;National
118779788733;At what administrative level does your primary affiliation work?;National
118788622481;At what administrative level does your primary affiliation work?;National
119024947539;At what administrative level does your primary affiliation work?;Regional
